country,id,artist,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
во всем мире,02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,0.761,0.525,11.0,-6.9,1.0,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,238805.0,4.0
во всем мире,5PjdY0CKGZdEuoNab3yDmX,The Kid LAROI,STAY (with Justin Bieber),0.591,0.764,1.0,-5.484,1.0,0.0483,0.0383,0.0,0.103,0.478,169.928,141806.0,4.0
во всем мире,1HhNoOuqm1a5MXYEgAFl8o,Imagine Dragons,Enemy (with JID) - from the series Arcane League of Legends,0.728,0.783,11.0,-4.424,0.0,0.266,0.237,0.0,0.434,0.555,77.011,173381.0,4.0
во всем мире,4fouWK6XVHhzl78KzQ1UjL,GAYLE,abcdefu,0.695,0.54,4.0,-5.692,1.0,0.0493,0.299,0.0,0.367,0.415,121.932,168602.0,4.0
во всем мире,1ri9ZUkBJVFUdgwzCnfcYs,Becky G,MAMIII,0.843,0.7,4.0,-3.563,0.0,0.0803,0.0934,0.0,0.14,0.899,93.991,226088.0,4.0
во всем мире,7rglLriMNBPAyuJOMGwi39,Elton John,Cold Heart - PNAU Remix,0.795,0.8,1.0,-6.32,1.0,0.0309,0.0354,7.25e-05,0.0915,0.934,116.032,202735.0,4.0
во всем мире,5Z9KJZvQzH6PFmb8SNkxuk,Lil Nas X,INDUSTRY BABY (feat. Jack Harlow),0.741,0.691,10.0,-7.395,0.0,0.0672,0.0221,0.0,0.0476,0.892,150.087,212353.0,4.0
во всем мире,46IZ0fSY2mpAiktS3KOqds,Adele,Easy On Me,0.604,0.366,5.0,-7.519,1.0,0.0282,0.578,0.0,0.133,0.13,141.981,224695.0,4.0
во всем мире,6mmPpaltUZK7xjNlBPQQ0p,Rauw Alejandro,Desesperados,0.869,0.694,1.0,-3.35,0.0,0.0783,0.356,0.00125,0.0878,0.511,90.02,224997.0,4.0
во всем мире,50nfwKoDiSYg8zOCREWAm5,Ed Sheeran,Shivers,0.788,0.859,2.0,-2.724,1.0,0.0856,0.281,0.0,0.0424,0.822,141.02,207853.0,4.0
во всем мире,6I3mqTwhRpn34SLVafSH7G,Justin Bieber,Ghost,0.601,0.741,2.0,-5.569,1.0,0.0478,0.185,2.91e-05,0.415,0.441,153.96,153190.0,4.0
во всем мире,52xJxFP6TqMuO4Yt0eOkMz,Carolina Gaitán - La Gaita,We Don't Talk About Bruno,0.577,0.45,0.0,-8.516,0.0,0.0834,0.357,0.0,0.111,0.83,205.863,216120.0,4.0
во всем мире,1SOClUWhOi8vHZYMz3GluK,Jaymes Young,Infinity,0.671,0.673,11.0,-6.941,0.0,0.0444,0.148,5.29e-05,0.304,0.494,121.963,237720.0,4.0
во всем мире,59CfNbkERJ3NoTXDvoURjj,Dove Cameron,Boyfriend,0.345,0.612,7.0,-6.543,0.0,0.0608,0.232,0.0,0.194,0.232,179.773,153000.0,3.0
во всем мире,0e8nrvls4Qqv5Rfa2UhqmO,Lil Nas X,THATS WHAT I WANT,0.737,0.846,1.0,-4.51,0.0,0.22,0.00614,0.0,0.0486,0.546,87.981,143901.0,4.0
во всем мире,6Uj1ctrBOjOas8xZXGqKk4,Doja Cat,Woman,0.824,0.764,5.0,-4.175,0.0,0.0854,0.0888,0.00294,0.117,0.881,107.998,172627.0,4.0
во всем мире,2B4GHvToeLTOBB4QLzW3Ni,Farruko,Pepas,0.762,0.766,7.0,-3.955,1.0,0.0343,0.00776,6.98e-05,0.128,0.442,130.001,287120.0,4.0
во всем мире,3rmo8F54jFF8OgYsqTxm5d,Ed Sheeran,Bad Habits,0.807,0.893,11.0,-3.745,0.0,0.0347,0.0451,2.79e-05,0.366,0.537,126.011,230747.0,4.0
во всем мире,46HNZY1i7O6jwTA7Slo2PI,Coldplay,My Universe,0.573,0.711,1.0,-6.268,0.0,0.0406,0.0114,0.0,0.328,0.47,105.006,226198.0,4.0
во всем мире,3uUuGVFu1V7jTQL60S1r8z,Lost Frequencies,Where Are You Now,0.671,0.636,6.0,-8.117,0.0,0.103,0.515,0.000411,0.172,0.262,120.966,148197.0,4.0
во всем мире,4SqWKzw0CbA05TGszDgMlc,The Walters,I Love You So,0.575,0.648,10.0,-4.891,1.0,0.0358,0.583,0.0,0.115,0.466,75.977,160240.0,4.0
во всем мире,4ZtFanR9U6ndgddUvNcjcG,Olivia Rodrigo,good 4 u,0.563,0.664,9.0,-5.044,1.0,0.154,0.335,0.0,0.0849,0.688,166.928,178147.0,4.0
во всем мире,4gzsuuZypVbxs0Af1LSZyB,Tainy,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),0.639,0.703,4.0,-6.33,0.0,0.0794,0.0889,1.78e-06,0.0865,0.138,169.888,207301.0,4.0
во всем мире,20on25jryn53hWghthWWW3,ACRAZE,Do It To It,0.854,0.806,11.0,-8.262,0.0,0.0886,0.0209,0.0542,0.0703,0.637,124.927,157890.0,4.0
во всем мире,58HvfVOeJY7lUuCqF0m3ly,Elley Duhé,MIDDLE OF THE NIGHT,0.41,0.611,4.0,-8.271,0.0,0.0467,0.0228,0.0,0.116,0.0899,185.727,184448.0,3.0
во всем мире,18asYwWugKjjsihZ0YvRxO,Tiësto,The Motto,0.754,0.763,7.0,-4.627,0.0,0.0435,0.0301,2.23e-05,0.0901,0.464,117.953,164819.0,4.0
во всем мире,2JPLbjOn0wPCngEot2STUS,Bad Bunny,Yonaguni,0.644,0.648,1.0,-4.601,1.0,0.118,0.276,0.0,0.135,0.44,179.951,206710.0,4.0
во всем мире,3XOalgusokruzA5ZBA2Qcb,Gunna,pushin P (feat. Young Thug),0.773,0.422,1.0,-4.572,0.0,0.187,0.00783,0.00693,0.129,0.488,77.502,136267.0,1.0
во всем мире,0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,Blinding Lights,0.514,0.73,1.0,-5.934,1.0,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,200040.0,4.0
во всем мире,2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,Sweater Weather,0.612,0.807,10.0,-2.81,1.0,0.0336,0.0495,0.0177,0.101,0.398,124.053,240400.0,4.0
во всем мире,3AVXwaOGCEL8cmBecfcsFJ,Charlie Puth,Light Switch,0.69,0.626,6.0,-5.693,1.0,0.306,0.105,0.000335,0.0881,0.912,184.009,185681.0,4.0
во всем мире,3Vi5XqYrmQgOYBajMWSvCi,Doja Cat,Need to Know,0.664,0.609,1.0,-6.509,1.0,0.0707,0.304,0.0,0.0926,0.194,130.041,210560.0,4.0
во всем мире,5TMLavqGRKNxgzMBrVpC9R,zzoilo,Mon Amour - Remix,0.748,0.761,2.0,-6.621,1.0,0.102,0.122,6.56e-06,0.0984,0.362,116.041,179940.0,4.0
во всем мире,2K7xn816oNHJZ0aVqdQsha,The Neighbourhood,Softcore,0.575,0.568,9.0,-5.509,0.0,0.03,0.0484,0.000417,0.286,0.37,93.986,206280.0,4.0
во всем мире,5CZ40GBx1sQ9agT82CLQCT,Olivia Rodrigo,traitor,0.38,0.339,3.0,-7.885,1.0,0.0338,0.691,0.0,0.12,0.0849,100.607,229227.0,4.0
во всем мире,7lQ8MOhq6IN2w8EYcFNSUk,Eminem,Without Me,0.908,0.669,7.0,-2.827,1.0,0.0738,0.00286,0.0,0.237,0.662,112.238,290320.0,4.0
во всем мире,3DarAbFujv6eYNliUTyqtz,Doja Cat,Kiss Me More (feat. SZA),0.764,0.705,8.0,-3.463,1.0,0.0284,0.259,8.92e-05,0.12,0.781,110.97,208667.0,4.0
во всем мире,0IuVhCflrQPMGRrOyoY5RW,Tate McRae,she's all i wanna be,0.614,0.644,2.0,-5.372,0.0,0.0426,0.0134,7.07e-06,0.117,0.651,160.036,206772.0,4.0
во всем мире,2eAvDnpXP5W0cVtiI0PUxV,Ruth B.,Dandelions,0.609,0.692,1.0,-2.958,1.0,0.0259,0.0157,0.0,0.0864,0.454,116.959,233720.0,3.0
во всем мире,503OTo2dSqe7qk76rgsbep,Dr. Dre,Still D.R.E.,0.816,0.775,11.0,-3.323,1.0,0.234,0.16,0.00031,0.0543,0.527,93.431,270587.0,4.0
во всем мире,2gQPv5jvVPqU2a9HhMNO1v,BoyWithUke,Toxic,0.594,0.612,8.0,-6.627,0.0,0.363,0.835,0.0,0.461,0.687,179.629,168020.0,4.0
во всем мире,5nujrmhLynf4yMoMtj8AQF,Dua Lipa,Levitating (feat. DaBaby),0.702,0.825,6.0,-3.787,0.0,0.0601,0.00883,0.0,0.0674,0.915,102.977,203064.0,4.0
во всем мире,62Yo3FDddWY8ydu6PW2wyz,Jack Harlow,Nail Tech,0.647,0.581,4.0,-7.678,0.0,0.0884,0.0029,7.76e-06,0.119,0.113,150.149,206385.0,4.0
во всем мире,1SC5rEoYDGUK4NfG82494W,Lil Nas X,MONTERO (Call Me By Your Name),0.593,0.503,8.0,-6.725,0.0,0.22,0.293,0.0,0.405,0.71,178.781,137704.0,4.0
