country,id,artist,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
во всем мире,0N0h5lXc4HOiLgGb9EZi8m,lil Shordie Scott,Rocking A Cardigan in Atlanta,0.803,0.64,1,-4.721,1,0.151,0.583,0.000331,0.437,0.816,140.073,96826,4
во всем мире,3o9kpgkIcffx0iSwxhuNI2,Em Beihold,Numb Little Bug,0.742,0.527,8,-6.892,0,0.0769,0.327,0.0,0.25,0.638,84.974,169238,4
во всем мире,6ohTBTmcNHe9UzvxAgA9wJ,Lauri Garcia,Miel,0.801,0.401,0,-8.082,1,0.0491,0.909,0.0,0.158,0.595,126.455,124590,4
во всем мире,0jdcdrTpIzIZGBqBvkgEaC,Ben Reilly,Maytag (Tax Free),0.465,0.67,1,-6.57,1,0.297,0.0181,0.0,0.519,0.553,83.772,165550,4
во всем мире,45GDh5cZcRVOAyQqZWxiUt,Jx.Zero,Playboy,0.819,0.563,1,-8.621,0,0.706,0.0126,0.0,0.21,0.599,158.017,152451,4
во всем мире,0h14I7cPYi1RZG6GmVpMso,CIVO,Weg von mir,0.566,0.481,9,-10.706,1,0.205,0.783,0.0,0.575,0.671,143.857,136667,3
во всем мире,7k6QR9YHyW258yVN6FHO1T,OAFF,Doobey,0.751,0.669,3,-6.532,0,0.0359,0.342,1.31e-05,0.0822,0.359,119.014,219687,4
во всем мире,6zQPRiKYLdpAIn5HDtzDYc,Jamie Muscato,Meant to be Yours,0.552,0.632,6,-6.364,0,0.0962,0.398,0.0,0.227,0.464,97.998,210440,3
во всем мире,0T5iIrXA4p5GsubkhuBIKV,Stephen Sanchez,Until I Found You,0.539,0.508,10,-6.05,1,0.0288,0.727,0.0,0.174,0.227,101.358,177720,3
во всем мире,5XW4BwCrfYpci5zMbJxs4N,Wig Wam,Do Ya Wanna Taste It,0.559,0.793,2,-3.536,0,0.028,0.0191,0.0,0.394,0.69,92.034,176973,4
во всем мире,5Qf8dlJ2zZTfztx7o7kbDN,Semicenk,Düşer Aklıma,0.706,0.418,8,-8.63,1,0.0906,0.0564,6.61e-05,0.0933,0.319,161.918,160000,4
во всем мире,6QHXcb0eFwOKZOZ9bOFmxm,ALTÉGO,Toxic Pony,0.775,0.652,0,-9.906,1,0.152,0.00757,0.000598,0.105,0.922,143.08,198042,4
во всем мире,2q3LzfknBzye3xXjgiJBjS,Gatton,When Scars Become Art,0.524,0.114,11,-17.027,1,0.0507,0.929,0.0,0.917,0.314,119.818,287561,4
во всем мире,6Xa2rrTpSLkpx887Y115mO,Abe Parker,Butterflies,0.485,0.484,3,-7.036,1,0.0617,0.62,0.0,0.114,0.282,159.877,183938,3
во всем мире,1AzNN19lPYC68iacrbWL8X,Darbuka Siva,"Mudhal Nee Mudivum Nee Title Track (From ""Mudhal Nee Mudivum Nee"")",0.556,0.521,6,-10.811,1,0.0321,0.632,0.000582,0.102,0.355,127.956,332702,4
во всем мире,0Bv7O6fmZk3GrNQFYJaXPn,La Pantera,"Cayó La Noche (feat. Cruz Cafuné, Abhir Hathi, Bejo, EL IMA) [Remix]",0.672,0.745,5,-5.269,0,0.3,0.438,9.29e-06,0.0699,0.739,173.974,413111,4
во всем мире,5n4kMW5dn7MHFhXQuJb9zG,Restless Road,Growing Old With You,0.478,0.516,5,-7.276,1,0.0267,0.403,0.0,0.0823,0.376,80.09,196008,4
во всем мире,6HOOykUGBMv3LFsR9gObw5,Eden Muñoz,Creo en Ti,0.677,0.384,0,-8.773,1,0.028,0.7,0.0,0.0945,0.776,153.116,177059,4
во всем мире,5cRKj1kynNFqiliT2ndZ3y,Higuchi Ai,Akuma no Ko,0.561,0.686,6,-6.273,0,0.0473,0.267,0.0,0.137,0.22,89.97,227680,4
во всем мире,3yWHQ4n4ARLDfYTuT2NhnN,Tananai,BABY GODDAMN,0.819,0.764,10,-3.311,0,0.1,0.0317,2.73e-05,0.0579,0.885,114.033,149605,4
во всем мире,4VtRHZ4tBDHaWltVAytlLY,Cat Burns,Go,0.663,0.251,6,-9.87,0,0.0435,0.88,0.0,0.0932,0.528,90.272,215000,4
во всем мире,2I8EDARURigigunOxtg7oi,JELEEL!,DIVE IN!,0.705,0.753,6,-5.28,1,0.0485,0.000944,0.000127,0.385,0.368,140.023,100518,4
во всем мире,2ytQws1jfyFcY2K2MDUfzd,Los Lara,Fumando Mota,0.599,0.499,7,-6.549,1,0.0685,0.49,1.64e-06,0.0897,0.562,170.907,201205,3
во всем мире,1AhNxunSSizAllibrQ7jhu,Quevedo,Ahora Y Siempre,0.659,0.629,4,-7.86,1,0.0825,0.716,0.0,0.422,0.416,118.964,149275,4
во всем мире,6MvaRZ6JZgJuXz9b1CMB1y,Baco Exu do Blues,20 Ligações,0.688,0.389,0,-10.62,1,0.174,0.779,7.26e-06,0.108,0.536,75.073,193600,4
во всем мире,4hAYQuavbB0FYhyxBTbVal,Alex Luna,Te Marqué Pedo,0.836,0.66,1,-3.939,0,0.0648,0.724,0.0,0.112,0.829,135.091,216000,4
во всем мире,79nEEoEPY2w8EXj9hjn5oc,Yung Lean,Ginseng Strip 2002,0.601,0.712,1,-9.433,1,0.0431,0.0848,0.0,0.479,0.386,114.998,154000,4
во всем мире,4iwiYqzoLImJraKQ9Pf2I2,Goya Menor,Ameno Amapiano Remix (You Wanna Bamba),0.807,0.898,6,-5.837,0,0.0393,0.188,0.000395,0.0824,0.743,112.998,227101,4
во всем мире,4CnA1w7WulFrRPehCWDULz,Alfie Castley,Teenage Mona Lisa,0.547,0.496,9,-7.6,1,0.0511,0.192,1.03e-06,0.114,0.357,78.957,198608,4
во всем мире,5elW2CKSoqjYoJ32AGDxf1,ENHYPEN,Polaroid Love,0.738,0.67,7,-3.766,0,0.0439,0.458,0.0,0.361,0.651,138.055,184602,4
